"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"O00182","Q92581","LGALS9","SLC9A6","exp"
"O00182","Q9H7F0","LGALS9","ATP13A3","exp"
"O00182","P17931","LGALS9","LGALS3","exp"
"O00182","Q14118","LGALS9","DAG1","exp"
"O00182","P51884","LGALS9","LUM","exp"
"O00182","Q15599","LGALS9","SLC9A3R2","exp"
"O00182","Q96DT0","LGALS9","LGALS12","pred"
"O00182","P07237","LGALS9","P4HB","exp"
"O00182","Q8NBW4","LGALS9","SLC38A9","exp"
"O00182","P19256","LGALS9","CD58","exp"
"O00182","P30101","LGALS9","PDIA3","exp"
"O00182","Q8NB49","LGALS9","ATP11C","exp"
"O00182","P20701","LGALS9","ITGAL","exp"
"O00182","P17948","LGALS9","FLT1","pred"
"O00182","Q9Y6X5","LGALS9","ENPP4","exp"
"O00182","P51790","LGALS9","CLCN3","exp"
"O00182","P08648","LGALS9","ITGA5","exp"
"O00182","Q13571","LGALS9","LAPTM5","pred"
"O00182","Q05315","LGALS9","CLC","pred"
"O00182","P07766","LGALS9","CD3E","pred"
"O00182","Q86YS7","LGALS9","C2CD5","exp"
"O00182","O00592","LGALS9","PODXL","exp"
"O00182","P13611","LGALS9","VCAN","pred"
"O00182","P02649","LGALS9","APOE","exp"
"O00182","Q3B8N2","LGALS9","LGALS9B","exp;pred"
"O00182","Q7Z3C6","LGALS9","ATG9A","exp"
"O00182","O15117","LGALS9","FYB1","pred"
"O00182","Q96D42","LGALS9","HAVCR1","pred"
"O00182","Q9UIW2","LGALS9","PLXNA1","exp"
"O00187","Q9HC29","MASP2","NOD2","pred"
"O00192","P55089","ARVCF","UCN","pred"
"O00206","O43353","TLR4","RIPK2","exp;pred"
"O00206","Q9HC29","TLR4","NOD2","pred"
"O00213","O95267","APBB1","RASGRP1","pred"
"O00213","P48023","APBB1","FASLG","exp"
"O00220","O43353","TNFRSF10A","RIPK2","pred"
"O00220","P17181","TNFRSF10A","IFNAR1","exp"
